Species	Bacteriocin	Count
Mobiluncus_curtisii_ATCC_43063	Bacteriocin_IIc,Linocin_M18	2
Lactobacillus_acidophilus_30SC	Bacteriocin_IIc,ComC,L_biotic_typeA	3
Micromonospora_krabiensis_strain_DSM_45344	Bacteriocin_IIc	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20090698	Bacteriocin_IIc	1
Klebsiella_sp._A52	Bacteriocin_IIc,ggmotif,LE-DUF	3
Peptoclostridium_difficile_ATCC_9689_=_DSM_1296	LE-MER+2PEP	1
Staphylococcus_coagulans_1031336	Bacteriocin_IIi,Mersacidin	2
Burkholderia_multivorans_ATCC_17616	Bacteriocin_IIc,ggmotif,Linocin_M18	3
Magnetospirillum_gryphiswaldense_MSR-1_v2	Bacteriocin_IIc,MA-NIS+EPI	2
Nitrosomonas_sp._AL212	Bacteriocin_IIc	1
Escherichia_coli_O178:H19_strain_2012C-4431	Bacteriocin_IIc	1
Mesorhizobium_sp._B7	Bacteriocin_IIc	1
Olivibacter_sp._SDN3	Bacteriocin_IIc,ComC,ggmotif	3
Mesorhizobium_amorphae_CCNWGS0123	Bacteriocin_IIc	1
Halomonas_campisalis_strain_SS10-MC5	LE-LAC481	1
Mycoplasma_pneumoniae_M129	Linocin_M18	1
Clostridium_clariflavum_DSM_19732	Bacteriocin_IIc,Mersacidin	2
Deefgea_sp._D17	Bacteriocin_IIc	1
Clostridium_sp._001	ggmotif	1
Jiangella_alkaliphila_strain_DSM_45079	ggmotif,Linocin_M18	2
Nocardioides_daphniae_strain_JCM_16608	Mersacidin	1
Rhizobium_sp._NXC24	Bacteriocin_IIc	1
Rhizobium_sp._WYJ-E13	Bacteriocin_IIc	1
Chelatococcus_sp._CO-6	Bacteriocin_IIc	1
Streptomyces_lividans_TK23	ggmotif,lasso,Mersacidin	3
Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1917	Bacteriocin_IIc	1
Vibrio_splendidus_1_C04a	Bacteriocin_IIc	1
Pseudoalteromonas_sp._A41-2	Bacteriocin_IIc,ComC	2
Brucella_abortus_bv._1_str._9-941	Bacteriocin_IIc	1
Actinobacillus_delphinicola_strain_NCTC12871	ComC	1
Mycobacterium_saopaulense_strain_EPM10906	Linocin_M18	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120356	Bacteriocin_IIc	1
Bacillus_wiedmannii_Bt18679	Bacteriocin_IIc,Bacteriocin_IId	2
Mycobacterium_tuberculosis_PanR0404	Gallidermin,Linocin_M18	2
Haemophilus_influenzae_86-028NP	Linocin_M18	1
Cellvibrio_sp._PSBB023_strain_PSBB023	ggmotif	1
Listeria_grayi_strain_NCTC_10812	L_biotic_typeA,MA-2PEPA	2
Streptomyces_venezuelae	Lactococcin,Linocin_M18,Mersacidin	3
Streptomyces_sp._GBA_94-10	ggmotif	1
Paenibacillus_naphthalenovorans_strain_32O-Y	ggmotif	1
Pseudomonas_cerasi_strain_PL963	Bacteriocin_IIc,ggmotif	2
Acinetobacter_sp._Tol_5	Bacteriocin_IIc	1
Haloarcula_sinaiiensis_ATCC_33800	Bacteriocin_IIc,Bacteriocin_II	2
Cruoricaptor_ignavus_strain_M1214	Bacteriocin_IIc	1
Citrobacter_sp._FDAARGOS_156	Bacteriocin_IIc	1
Yersinia_pestis_Antiqua	Bacteriocin_IIc,ggmotif	2
Methanosarcina_sp._WWM596	Bacteriocin_IIc	1
Mycobacterium_tuberculosis_KZN_1435	Gallidermin,Linocin_M18	2
Mannheimia_varigena_USDA-ARS-USMARC-1261	Bacteriocin_IId	1
Acetobacter_pasteurianus_IFO_3283-22	Bacteriocin_IIc,ggmotif,Linocin_M18,Mersacidin	4
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20100325	Bacteriocin_IIc	1
Acinetobacter_sp._LoGeW2-3	Bacteriocin_IIc	1
Escherichia_coli_O111:H-_str._11128	Bacteriocin_IIc	1
Streptomyces_sp._Sge12_strain_Sge12	ggmotif,Lactococcin_972,MA-NIS+EPI	3
Paracoccus_sp._MC1862	Bacteriocin_IIc	1
Thermotoga_petrophila_RKU-1	Linocin_M18	1
Aquimarina_sp._AD1	Bacteriocin_IIc	1
Enterococcus_faecalis_V583	Linocin_M18,Mersacidin	2
Lysobacter_sp._K5869	Bacteriocin_IIc,ggmotif	2
Pasteurellaceae_bacterium_RH1A	Mersacidin	1
Klebsiella_sp._LTGPAF-6F	Antimicrobial18,Bacteriocin_IIc,Bacteriocin_IId,ggmotif,LE-DUF	5
Escherichia_coli_O169:H41_strain_2014EL-1345-2	Antimicrobial17,Bacteriocin_IIc	2
Mycobacterium_florentinum_strain_JCM_14740	Linocin_M18	1
Clostridia_bacterium_strain_zrk5	Bacteriocin_IIi,ggmotif,Linocin_M18	3
Salmonella_enterica_subsp._enterica_serovar_Virchow_strain_AUSMDU00010533	Bacteriocin_IIc	1
Burkholderia_pseudomallei_MSHR520	Bacteriocin_IIc,Bacteriocin_IId,ggmotif	3
Corynebacterium_simulans_strain_PES1	Lactococcin_972	1
Rhodoferax_saidenbachensis_strain_DSM_22694	Bacteriocin_IId	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20093430	Bacteriocin_IIc	1
Escherichia_coli_O83:H1_str._NRG_857C	Bacteriocin_IIc	1
Nitrobacter_winogradskyi_Nb-255	Bacteriocin_IIc	1
Vibrio_sp._HDW18	MA-LAC481	1
Pseudomonas_sp._S35	Bacteriocin_IIc	1
Rhizobium_daejeonense_strain_KACC_13094	Bacteriocin_IIc	1
Burkholderia_pseudomallei_NCTC_13178	Bacteriocin_IIc,Bacteriocin_IId,ggmotif	3
Erwinia_amylovora_ATCC_49946	Bacteriocin_IIc,Bacteriocin_IId	2
Lactobacillus_sakei_subsp._sakei_23K	Bacteriocin_IIc	1
Aeromonas_simiae_strain_A6	LE-DUF	1
Campylobacter_corcagiensis_strain_2016D-0077	ComC	1
Bacillus_sp._Y1	Antimicrobial17,Bacteriocin_IIc,L_biotic_typeA	3
Mycoplasma_sp._C264-NAS	Bacteriocin_IIc	1
Methylomonas_koyamae_strain_LM6	ggmotif	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20095309	Bacteriocin_IIc	1
Spirosoma_sp._CJU-R4	Bacteriocin_IIc	1
Streptococcus_agalactiae_COH1	Bacteriocin_IIc	1
Citrobacter_portucalensis_BY9F36	Bacteriocin_IIc	1
Mycobacterium_smegmatis_MKD8	Linocin_M18	1
Plantactinospora_sp._BB1	Lactococcin_972,leaderLanBC	2
Halomonas_sp._AM6	Bacteriocin_IId	1
Polaribacter_sp._ALD11	Mersacidin	1
Streptomyces_lividans_TK24	ggmotif,lasso,Mersacidin	3
Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1918	Bacteriocin_IIc	1
Dermabacter_jinjuensis_FDAARGOS_1555	Bacteriocin_IIc	1
Mucilaginibacter_sp._21P	Bacteriocin_IIc,ggmotif	2
Desulfotomaculum_reducens_MI-1	Bacteriocin_IIc	1
Candidatus_Nitrotoga_sp._AM1P	Lactococcin	1
Escherichia_coli_K-12_GM4792	Bacteriocin_IIc	1
Vibrio_chagasii_strain_ECSMB14107	Bacteriocin_IIc,LE-LanBC	2
halophilic_archaeon_True-ADL	Bacteriocin_IIc	1
Flavobacterium_sp._MEBiC07310	Antimicrobial17	1
Streptomyces_sp._MG62	ggmotif,Lactococcin_972	2
Mycobacterium_tuberculosis_PanR0405	Gallidermin,Linocin_M18	2
Aeromicrobium_sp._Root236	Mersacidin	1
Campylobacter_jejuni_subsp._jejuni_00-2538	Linocin_M18	1
