"variable","mean","sd","median","lower_95","upper_95","from","to","biological_change"
"total_changes",1621.84829787234,104.659293641603,1614,1439.475,1852.525,NA,NA,"All allowed changes"
"q12",34.6408510638298,14.8493015693112,33,10,67,"00","01","T6SS gain | flagella absent"
"q13",97.0731914893617,8.9969943921686,97,80.475,115,"00","10","Flagella gain | T6SS absent"
"q21",180.477872340426,22.1959616771628,181,136,225,"01","00","T6SS loss | flagella absent"
"q24",4.72765957446808,3.27934082412265,4,0,13,"01","11","Flagella gain | T6SS present"
"q31",247.343829787234,15.8364054244037,247,216,279,"10","00","Flagella loss | T6SS absent"
"q34",384.702340425532,57.0491224998868,380,285,511,"10","11","T6SS gain | flagella present"
"q42",98.7310638297872,12.1860800010874,98,76,124,"11","01","Flagella loss | T6SS present"
"q43",574.151489361702,52.0340798410234,571,479,686,"11","10","T6SS loss | flagella present"
